2026-03-17 22:54:23 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=coordinator-1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-03-17 22:54:23 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=coordinator-1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-03-17 22:54:23 | INFO | kafka.coordinator | Failed to join group alphaflow-price-consumer: NodeNotReadyError: coordinator-1
2026-03-17 22:54:23 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=coordinator-1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-03-17 22:54:23 | INFO | kafka.coordinator | Failed to join group alphaflow-allocation-consumer: NodeNotReadyError: coordinator-1
2026-03-17 22:54:23 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=coordinator-1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-03-17 22:54:23 | INFO | kafka.coordinator | (Re-)joining group alphaflow-price-consumer
2026-03-17 22:54:23 | INFO | kafka.coordinator | Received member id kafka-python-2.3.0-47dc3fb9-b1d3-4b2c-95c6-c8cd092fecaa for group alphaflow-price-consumer; will retry join-group
2026-03-17 22:54:23 | INFO | kafka.coordinator | Failed to join group alphaflow-price-consumer: [Error 79] MemberIdRequiredError
2026-03-17 22:54:23 | INFO | kafka.coordinator | (Re-)joining group alphaflow-price-consumer
2026-03-17 22:54:23 | INFO | kafka.coordinator | (Re-)joining group alphaflow-allocation-consumer
2026-03-17 22:54:23 | INFO | kafka.coordinator | Received member id kafka-python-2.3.0-5b69da6f-a848-453e-8f7d-179e5121de1d for group alphaflow-allocation-consumer; will retry join-group
2026-03-17 22:54:23 | INFO | kafka.coordinator | Failed to join group alphaflow-allocation-consumer: [Error 79] MemberIdRequiredError
2026-03-17 22:54:23 | INFO | kafka.coordinator | (Re-)joining group alphaflow-allocation-consumer
2026-03-17 22:54:23 | INFO | kafka.coordinator | Successfully joined group alphaflow-allocation-consumer <Generation 7 (member_id: kafka-python-2.3.0-5b69da6f-a848-453e-8f7d-179e5121de1d, protocol: range)>
2026-03-17 22:54:23 | INFO | kafka.consumer.subscription_state | Updated partition assignment: [TopicPartition(topic='alphaflow.features.ready', partition=0)]
2026-03-17 22:54:23 | INFO | kafka.coordinator.consumer | Setting newly assigned partitions {TopicPartition(topic='alphaflow.features.ready', partition=0)} for group alphaflow-allocation-consumer
2026-03-17 22:54:23 | INFO | kafka.coordinator.heartbeat | Stopping heartbeat thread
2026-03-17 22:54:23 | INFO | kafka.coordinator | Leaving consumer group alphaflow-price-consumer (member kafka-python-2.3.0-47dc3fb9-b1d3-4b2c-95c6-c8cd092fecaa).
2026-03-17 22:54:26 | INFO | kafka.coordinator | Successfully joined group alphaflow-price-consumer <Generation 3 (member_id: kafka-python-2.3.0-47dc3fb9-b1d3-4b2c-95c6-c8cd092fecaa, protocol: range)>
2026-03-17 22:54:26 | INFO | kafka.coordinator | Elected group leader -- performing partition assignments using range
2026-03-17 22:54:26 | INFO | kafka.coordinator | LeaveGroup request for group alphaflow-price-consumer returned successfully
2026-03-17 22:54:26 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2026-03-17 22:54:26 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=coordinator-1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2026-03-17 22:54:26 | ERROR | kafka.coordinator | Error sending SyncGroupRequest_v3 to node coordinator-1 [Cancelled: <BrokerConnection client_id=kafka-python-2.3.0, node_id=coordinator-1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>]
2026-03-17 22:54:26 | WARNING | kafka.coordinator | Marking the coordinator dead (node coordinator-1) for group alphaflow-price-consumer: Cancelled: <BrokerConnection client_id=kafka-python-2.3.0, node_id=coordinator-1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>.
2026-03-17 22:54:26 | INFO | kafka.coordinator | Failed to join group alphaflow-price-consumer: Cancelled: <BrokerConnection client_id=kafka-python-2.3.0, node_id=coordinator-1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>
2026-03-17 22:54:28 | INFO | botocore.credentials | Found credentials in shared credentials file: ~/.aws/credentials
2026-03-17 22:54:29 | INFO | consumers |   🔄 Running portfolio optimizer | trigger=scheduled
2026-03-17 22:54:29 | INFO | portfolio | ============================================================
2026-03-17 22:54:29 | INFO | portfolio | AlphaFlow — Portfolio Optimization Engine
2026-03-17 22:54:29 | INFO | portfolio | ============================================================
2026-03-17 22:54:29 | INFO | portfolio | 
Step 1: Loading regime from HMM detector...
2026-03-17 22:54:29 | INFO | portfolio |   ✓ Regime loaded: BEAR (confidence 100%)
2026-03-17 22:54:29 | INFO | portfolio | 
Step 2: Loading feature data...
2026-03-17 22:54:39 | INFO | portfolio |   ✓ Loaded features for 39 tickers
2026-03-17 22:54:39 | INFO | portfolio | 
Step 3: Loading TFT predictions...
2026-03-17 22:54:39 | INFO | portfolio |   ✓ Loaded 5917 TFT predictions
2026-03-17 22:54:39 | INFO | portfolio | 
Step 4: Markowitz optimization...
2026-03-17 22:54:39 | INFO | portfolio | 
Step 6: Computing final allocation...
